"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List","Supplier Name","Suggested Reorder QTY : <font color=#2096F3><b>%1$s</b></font> %2$s"
"Cose 25/10","N/A","0.5","1.0","Pcs","N/A","0.0","0.0","0.0","0.0","21 March 2024","0.0%","N/A"
"Lithium Battery Deye 5 kwh","N/A","1150.0","1200.0","N/A","N/A","0.0","0.0","0.0","0.0","07 May 2024","0.0%","N/A"
"InfiniSolar Voltronic Inverteur 6 KW","N/A","900.0","1000.0","Pcs","Warranty 1 Year","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"DC Breaker 125 A","N/A","28.0","35.0","Pcs","N/A","0.0","0.0","0.0","0.0","05 April 2023","0.0%","N/A"
"AC Cable 4x6","N/A","4.7","6.0","Mettre","N/A","-30.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"A/V Protection F.","N/A","30.0","45.0","Pcs","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Solar Dc Cable","N/A","1.0","1.15","Mettre","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Jinko N Type 570 Watt","N/A","0.0","115.0","N/A","N/A","0.0","0.0","0.0","0.0","23 May 2023","0.0%","N/A"
"Solar Panel N Type","N/A","140.0","95.0","N/A","N/A","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
"Box 8 module","Viko","8.0","10.0","Pcs ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Panels Parallel Kit","N/A","5.0","4.0","Pcs","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Isolation tube flexible 20","N/A","0.8","1.15","Mettre","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Fuse DC 30 A","N/A","0.75","1.0","Pcs ","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Port fuse DC 30 A","N/A","0.75","1.0","Pcs","N/A","0.0","0.0","0.0","0.0","19 March 2023","0.0%","N/A"
"Box 4 Module","N/A","4.0","7.0","Pcs","N/A","0.0","0.0","0.0","0.0","21 March 2023","0.0%","N/A"
"Mc4","N/A","0.0","3.0","Pcs","N/A","0.0","0.0","0.0","0.0","03 April 2023","0.0%","N/A"
"Jinko 585 kw","N/A","0.0","115.0","N/A","N/A","0.0","0.0","0.0","0.0","02 September 2024","0.0%","N/A"
"-3d views (2 views or 3 views)
-survey and measurment
-existing plan
-construction plan
-demolition plan
-conceptual layout
-furniture layout
-ceiling plan
-flooring plan
-annotation and dimension plan","N/A","0.0","1750.0","N/A","N/A","0.0","0.0","0.0","0.0","12 September 2024","0.0%","N/A"
"PVC Box","N/A","0.0","2.0","Pcs","N/A","0.0","0.0","0.0","0.0","21 October 2024","0.0%","N/A"
"Spot led","18w","5.5","6.5","Pcs","N/A","0.0","0.0","0.0","0.0","24 October 2024","0.0%","N/A"
"Contacter","40A","10.0","15.0","Pcs","N/A","0.0","0.0","0.0","0.0","26 October 2024","0.0%","N/A"
"Thermique","N/A","10.0","15.0","Pcs","N/A","0.0","0.0","0.0","0.0","26 October 2024","0.0%","N/A"
"AC DNP","N/A","10.0","13.0","Pcs","N/A","0.0","0.0","0.0","0.0","26 October 2024","0.0%","N/A"
"Switch","N/A","4.0","7.0","Pcs","N/A","0.0","0.0","0.0","0.0","26 October 2024","0.0%","N/A"
"60x40","N/A","40.0","45.0","Pcs","N/A","0.0","0.0","0.0","0.0","26 October 2024","0.0%","N/A"
"Cache cable","N/A","5.0","8.0","Pcs ","N/A","0.0","0.0","0.0","0.0","26 October 2024","0.0%","N/A"
